"Marca temporal","Puntuación total","Enter your experimental ID","Enter your experimental ID [Puntuación]","Enter your experimental ID [Comentarios]","Which is the percentage value of mag^2 for the state 64 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 64 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 64 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 456 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 456 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 456 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 972 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 972 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 972 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 2190 (decimal)>? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 2190 (decimal)>? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 2190 (decimal)>? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 3401 (decimal)>? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 3401 (decimal)>? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 3401 (decimal)>? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 4236 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 4236 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 4236 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 5998 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 5998 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 5998 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 7457 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 7457 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 7457 (decimal)? (e.g., 32.7) [Comentarios]","Copy the code of the circuit created (Export button, then 'Copy to clipboard' under 'Escaped Link')","Copy the code of the circuit created (Export button, then 'Copy to clipboard' under 'Escaped Link') [Puntuación]","Copy the code of the circuit created (Export button, then 'Copy to clipboard' under 'Escaped Link') [Comentarios]"
"2024/05/21 1:14:26 p. m. EEST","8.00 / 8","Bari003","-- / 0","","3.125","1.00 / 1","","1.5625","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C%22H%22%2C1%2C%22H%22%2C%22H%22%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C%22Measure%22%2C%22Measure%22%2C1%2C1%2C1%2C%22Measure%22%2C%22Measure%22%2C%22Measure%22%2C1%2C1%2C%22Measure%22%5D%5D%7D","-- / 0",""
"2024/05/21 1:18:29 p. m. EEST","4.00 / 8","Bari012","-- / 0","","6.25","0.00 / 1","","0.00","0.00 / 1","","0.00","0.00 / 1","","0.00","1.00 / 1","","0.00","1.00 / 1","","0.00","0.00 / 1","","0.00","1.00 / 1","","0.00","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22H%22%2C%22H%22%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%5D%7D","-- / 0",""
"2024/05/21 1:19:54 p. m. EEST","8.00 / 8","Bari017","-- / 0","","3.1250","1.00 / 1","","1.5625","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C%22H%22%2C1%2C%22H%22%2C%22H%22%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%5D%7D","-- / 0",""
"2024/05/21 1:25:21 p. m. EEST","4.00 / 8","Bari010","-- / 0","","6.25","0.00 / 1","","0","0.00 / 1","","0","0.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","0.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22H%22%2C%22H%22%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%5D%7D","-- / 0",""
"2024/05/21 1:32:36 p. m. EEST","8.00 / 8","Bari001","-- / 0","","3.125","1.00 / 1","","1.5625","1.00 / 1","","1.5625","1.00 / 1","","0.0","1.00 / 1","","0.0","1.00 / 1","","1.5625","1.00 / 1","","0.0","1.00 / 1","","0.0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C%22H%22%2C1%2C%22H%22%2C%22H%22%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A6%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%5D%7D","-- / 0",""
"2024/05/21 1:34:12 p. m. EEST","8.00 / 8","Bari015","-- / 0","","3.125","1.00 / 1","","1.5625","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%5D%7D","-- / 0",""
"2024/05/21 1:40:53 p. m. EEST","8.00 / 8","Bari007","-- / 0","","3.125","1.00 / 1","","1.5625","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%5D%7D","-- / 0",""
"2024/05/21 1:40:54 p. m. EEST","8.00 / 8","Bari006","-- / 0","","3.1250","1.00 / 1","","1.5625","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C%22H%22%2C1%2C%22H%22%2C%22H%22%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%5D%7D","-- / 0",""
