"Marca temporal","Puntuación total","Enter your experimental ID","Enter your experimental ID [Puntuación]","Enter your experimental ID [Comentarios]","Which is the percentage value of mag^2 for the state 64 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 64 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 64 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 456 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 456 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 456 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 972 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 972 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 972 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 2190 (decimal)>? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 2190 (decimal)>? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 2190 (decimal)>? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 3401 (decimal)>? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 3401 (decimal)>? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 3401 (decimal)>? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 4236 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 4236 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 4236 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 5998 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 5998 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 5998 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 7457 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 7457 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 7457 (decimal)? (e.g., 32.7) [Comentarios]","Copy the code of the circuit created (Export button, then 'Copy to clipboard' under 'Escaped Link')","Copy the code of the circuit created (Export button, then 'Copy to clipboard' under 'Escaped Link') [Puntuación]","Copy the code of the circuit created (Export button, then 'Copy to clipboard' under 'Escaped Link') [Comentarios]"
"2024/05/21 1:46:46 p. m. EEST","8.00 / 8","Bari004","-- / 0","","3.1250","1.00 / 1","","1.5625","1.00 / 1","","1.5625","1.00 / 1","","0.0","1.00 / 1","","0.0","1.00 / 1","","1.5625","1.00 / 1","","0.0","1.00 / 1","","0.0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C%22H%22%2C1%2C%22H%22%2C%22H%22%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%5D%7D","-- / 0",""
"2024/05/21 1:47:04 p. m. EEST","8.00 / 8","Bari013","-- / 0","","3.125","1.00 / 1","","1.5625","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%5D%7D","-- / 0",""
"2024/05/21 1:48:13 p. m. EEST","8.00 / 8","Bari018","-- / 0","","3.125","1.00 / 1","","1.5625","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C%22H%22%2C1%2C%22H%22%2C%22H%22%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%5D%7D","-- / 0",""
"2024/05/21 1:48:23 p. m. EEST","7.00 / 8","Bari014","-- / 0","","3.12","1.00 / 1","","1.56","1.00 / 1","","1.56","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","0.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C%22H%22%2C1%2C%22H%22%2C%22H%22%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%5D%7D","-- / 0",""
"2024/05/21 1:51:10 p. m. EEST","8.00 / 8","Bari016","-- / 0","","3.125","1.00 / 1","","1.5625","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%5D%7D","-- / 0",""
"2024/05/21 1:52:09 p. m. EEST","8.00 / 8","Bari005","-- / 0","","3.1","1.00 / 1","","1.5","1.00 / 1","","1.5","1.00 / 1","","0.0","1.00 / 1","","0.0","1.00 / 1","","1.5","1.00 / 1","","0.0","1.00 / 1","","0.0","1.00 / 1","","{
  ""cols"": [
    [
      1,
      1,
      1,
      ""H""
    ],
    [
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      ""H""
    ],
    [
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      ""H""
    ],
    [
      1,
      1,
      1,
      1,
      1,
      1,
      ""H""
    ],
    [
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      ""H""
    ],
    [
      1,
      1,
      1,
      ""H"",
      1,
      1,
      1,
      ""•""
    ],
    [
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      1,
      ""•"",
      ""•"",
      ""X""
    ],
    [
      ""X"",
      1,
      1,
      ""•"",
      ""•""
    ],
    [
      1,
      ""•"",
      1,
      ""•"",
      1,
      1,
      ""X""
    ],
    [
      ""•"",
      1,
      1,
      ""•"",
      1,
      1,
      1,
      ""X""
    ],
    [
      1,
      ""•"",
      1,
      ""Z^½""
    ],
    [
      1,
      1,
      1,
      ""Z"",
      1,
      1,
      1,
      ""•""
    ],
    [
      1,
      1,
      1,
      ""•"",
      1,
      1,
      1,
      ""X""
    ],
    [
      1,
      1,
      1,
      ""Swap"",
      1,
      1,
      1,
      ""Swap""
    ],
    [
      1,
      1,
      1,
      ""H"",
      1,
      ""•""
    ],
    [
      1,
      1,
      ""H"",
      ""•""
    ],
    [
      1,
      1,
      1,
      1,
      1,
      ""•"",
      ""•"",
      ""X""
    ]
  ]
}","-- / 0",""
"2024/05/21 2:03:34 p. m. EEST","5.00 / 8","bari002","-- / 0","","3.1250","1.00 / 1","","0","0.00 / 1","","0","0.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","0.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C%22H%22%2C1%2C%22H%22%2C%22H%22%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%5D%7D","-- / 0",""
"2024/06/12 11:04:53 a. m. EEST","8.00 / 8","QServ014","-- / 0","","3.125","1.00 / 1","","1.5625","1.00 / 1","","1.5625","1.00 / 1","","0.0","1.00 / 1","","0.0","1.00 / 1","","1.5625","1.00 / 1","","0.0","1.00 / 1","","0.0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C%22H%22%2C1%2C%22H%22%2C%22H%22%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C%22Measure%22%2C%22Measure%22%2C1%2C1%2C1%2C%22Measure%22%2C%22Measure%22%2C%22Measure%22%2C1%2C1%2C%22Measure%22%5D%5D%7D","-- / 0",""
"2024/06/12 11:12:19 a. m. EEST","8.00 / 8","QServ015","-- / 0","","3.125","1.00 / 1","","1.5625","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C%22H%22%2C1%2C%22H%22%2C%22H%22%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C%22Measure%22%2C%22Measure%22%2C1%2C1%2C1%2C%22Measure%22%2C%22Measure%22%2C%22Measure%22%2C1%2C1%2C%22Measure%22%5D%5D%7D","-- / 0",""
"2024/06/12 11:14:27 a. m. EEST","8.00 / 8","QServ016","-- / 0","","3.125","1.00 / 1","","1.5625","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C%22H%22%2C1%2C%22H%22%2C%22H%22%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B%22X%22%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B%22%E2%80%A2%22%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C%22H%22%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C%22Measure%22%2C%22Measure%22%2C1%2C1%2C1%2C%22Measure%22%2C%22Measure%22%2C%22Measure%22%2C1%2C1%2C%22Measure%22%5D%5D%7D","-- / 0",""
